author,title,Dimensions,ISBN-10,ISBN-13,Language,Print length,Publication date,Publisher,Lexile measure,Reading age,Grade level
Laura Hillenbrand,"Seabiscuit: An American Legend
",6.45 x 1.24 x 9.55 inches,0375502912,978-0375502910,English,399 pages,"March 6, 2001",Random House,990L,,
J. R. R. Tolkien,"The Hobbit and The Lord of the Rings
",5.75 x 3.75 x 8.5 inches,0618002251,978-0618002252,English,,"September 15, 1999",Houghton Mifflin,,,
Tim LaHaye,"Desecration: Antichrist Takes the Throne (Left Behind No. 9)
",6.25 x 1.38 x 9.25 inches,084233226X,978-0842332262,English,407 pages,"October 1, 2001","Tyndale House Publishers, Inc.",880L,,
J.R.R. Tolkien,"J.R.R. Tolkien Boxed Set (The Hobbit and The Lord of the Rings)
",4.3 x 4.29 x 7.6 inches,0345340426,978-0345340429,English,1652 pages,"January 1, 2001",Del Rey,,,
Amy Tan,"The Bonesetter's Daughter
",6.28 x 1.28 x 9.28 inches,0399146431,978-0399146435,English,400 pages,"February 19, 2001",Putnam Adult,,18 years and up,
Tracy Chevalier,"Girl with a Pearl Earring: A Novel
",5.04 x 0.61 x 7.71 inches,0452282152,978-0452282155,English,240 pages,"January 1, 2001",Penguin Books,770L,,
Bill O'Reilly,"The No Spin Zone: Confrontations with the Powerful and Famous in America
",6.38 x 0.74 x 9.52 inches,0767908481,978-0767908481,English,208 pages,"October 16, 2001",Broadway,,,
Bernard Goldberg,"Bias: A CBS Insider Exposes How the Media Distort the News
",6.4 x 0.85 x 9.26 inches,0895261901,978-0895261908,English,232 pages,"February 25, 2001","Regnery Publishing, Inc.",,,
Diana Gabaldon,"The Fiery Cross
",6.46 x 1.95 x 9.52 inches,0385315279,978-0385315272,English,979 pages,"November 6, 2001",Delacorte Press,,,
Jim Collins,"Good to Great: Why Some Companies Make the Leap and Others Don't
",6.12 x 1.05 x 9.25 inches,9780066620992,,English,400 pages,"October 16, 2001",HarperBusiness,,,
Stephen King,"Dreamcatcher
",6.75 x 2 x 9.75 inches,0743211383,978-0743211383,English,624 pages,"March 20, 2001",Scribner,880L,,
Joseph J. Ellis,"Founding Brothers: The Revolutionary Generation
",6.55 x 1.01 x 9.55 inches,9780375405440,978-0375405440,English,304 pages,"October 17, 2000",Knopf,1410L,,
Tiger Woods,"How I Play Golf
",9.38 x 1 x 11.13 inches,0446529311,978-0446529310,English,320 pages,"October 9, 2001",Grand Central Publishing,,,
Mattie J.T. Stepanek,"Journey Through Heartsongs
",0.5 x 6.25 x 9 inches,189362210X,978-1893622104,English,80 pages,"September 27, 2001",VSP Books,,,
Anne Tyler,"Back When We Were Grownups
",6.58 x 1.13 x 9.53 inches,0375412530,978-0375412530,English,273 pages,"May 1, 2001",Alfred A. Knopf,,,
Eric Schlosser,"Fast Food Nation: The Dark Side of the All-American Meal
",6 x 1.17 x 9 inches,0395977894,978-0395977897,English,368 pages,"January 17, 2001",Houghton Mifflin Company,,14 years and up,
Lalita Tademy,"Cane River (Oprah's Book Club)
",6.25 x 1.25 x 9.25 inches,0446530522,978-0446530521,English,418 pages,"April 1, 2001",Grand Central Pub,,,
,"The Universe in a Nutshell
",7.81 x 0.83 x 10.16 inches,0593048156,978-0553802023,English,224 pages,"November 6, 2001",Bantam,,,
,"One Nation: America Remembers September 11, 2001
",9.36 x 0.75 x 11.13 inches,0316525405,978-0316525404,English,192 pages,"December 6, 2001","Little, Brown and Company",,,
Stephen King,"Black House: A Novel
",6.49 x 1.9 x 9.51 inches,0375504397,978-0375504396,English,640 pages,"September 1, 2001",Random House,,,
Bruce Wilkinson,"Secrets of the Vine: Breaking Through to Abundance
",4.5 x 0.5 x 6.25 inches,1868528510,978-1868528516,English,128 pages,"March 29, 2001",Multnomah Books,,,
Judith Miller,"Germs : Biological Weapons and America's Secret War
",5.04 x 1.11 x 8.2 inches,9780684871585,978-0684871585,English,384 pages,"October 2, 2001",Simon & Schuster,,,
Stephen E. Ambrose,"The Wild Blue: The Men and Boys Who Flew the B-24s Over Germany 1944-45
",6.2 x 1.05 x 9.5 inches,0743203399,978-0743203395,English,304 pages,"August 14, 2001",Simon & Schuster,,,
Malika Oufkir,"Stolen Lives: Twenty Years in a Desert Jail (Oprah's Book Club)
",6.5 x 1.25 x 9.5 inches,0786868619,978-0786868612,English,293 pages,"June 1, 2001",Miramax Books,,13 years and up,8 and up
Christiane Northrup,"The Wisdom of Menopause: Creating Physical and Emotional Health and Healing During the Change
",6.51 x 1.37 x 9.52 inches,055380121X,978-0553801217,English,589 pages,"March 6, 2001",Bantam,,,
Katharine Graham,"Personal History
",5.15 x 1.35 x 8 inches,9780375701047,978-0375701047,English,642 pages,"February 24, 1998",Vintage,,,
Adobe Creative Team,"Adobe Photoshop 6.0: Classrom in a Book
",,,,,,,,,,
J.K. Rowling,"Harry Potter and the Prisoner of Azkaban (3)
",5.2 x 1.2 x 7.5 inches,0439136369,978-0439136365,English,448 pages,"October 1, 2001",Scholastic Paperbacks,880L,9 - 12 years,4 - 7
Edmund Morris,"Theodore Rex
",6.6 x 1.83 x 9.54 inches,0394555090,978-0394555096,English,784 pages,"November 20, 2001",Random House,,,
James Patterson,"Violets Are Blue ~ Detective Alex Cross Series
",5.5 x 1 x 8.5 inches,0316693235,978-0316693233,English,393 pages,"November 19, 2001","Little, Brown and Company",,,
James Patterson,"1st to Die (Women's Murder Club)
",6.14 x 0.98 x 9.21 inches,0316666009,978-0316666008,English,432 pages,"March 5, 2001","Little, Brown and Company",,,
,"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest
",6.08 x 0.86 x 9.18 inches,0743216458,978-0743216456,English,336 pages,"June 6, 2001",Simon & Schuster,,,
Jan Karon,"A Common Life: The Wedding Story (Mitford)
",6.25 x 1.04 x 9.25 inches,9780670894376,978-0670894376,English,186 pages,"January 1, 2001",Viking,1000L,18 years and up,
Mattie J. T. Stepanek,"Heartsongs
",,,,,,,,,,
David Allen Sibley,"The Sibley Guide to Birds
",6.36 x 1.5 x 9.65 inches,0679451226,978-0679451228,English,544 pages,"October 3, 2000",Alfred A. Knopf,,,
,"New York September 11
",9.13 x 0.7 x 12.75 inches,1576871304,978-1576871300,English,144 pages,"November 16, 2001",powerHouse Books,,,
Sue Grafton,"P is for Peril : A Kinsey Millhone Mystery
",6.5 x 1.5 x 9.5 inches,0399147195,978-0399147197,English,352 pages,"June 1, 2001",Marian Wood Books/Putnam,,,
Tracy Hogg,"Secrets of the Baby Whisperer: How to Calm, Connect, and Communicate with Your Baby
",6.37 x 0.98 x 9.52 inches,0345440757,978-0345440754,English,304 pages,"January 30, 2001",Ballantine Books,,,
C. S. Lewis,"The Chronicles of Narnia Boxed Set
",4.49 x 4.29 x 6.89 inches,,,English,1632 pages,"March 5, 2002",HarperCollins,,8 - 12 years,3 - 6
Gwyn Hyman Rubio,"Icy Sparks (Oprah's Book Club)
",7.82 x 5.08 x 0.91 inches,0142000205,978-0142000205,English,308 pages,"March 1, 2001",Penguin Books,,18 years and up,12 and up
Dave Eggers,"A Heartbreaking Work of Staggering Genius
",5.12 x 0.97 x 7.98 inches,0375725784,978-0375725784,English,437 pages,"February 13, 2001",Vintage,1050L,,
Helen Fielding,"Bridget Jones's Diary: A Novel
",,,,,,,,,,
Jay Winik,"April 1865: The Month That Saved America
",6.13 x 1.45 x 9.13 inches,0060187239,978-0060187231,English,480 pages,"March 20, 2001",Harper,,,
Ian Falconer,"Olivia
",8.5 x 0.5 x 11 inches,0689829531,978-0689829536,English,40 pages,"October 1, 2000",Atheneum Books for Young Readers,AD470L,3 - 7 years,Preschool - 3
P. D. James,"Death in Holy Orders (Adam Dalgliesh Mystery Series #11)
",6.5 x 1.25 x 9.5 inches,0375412557,978-0375412554,English,432 pages,"April 10, 2001",Alfred A. Knopf,,,
David Baldacci,"Last Man Standing
",6 x 1.41 x 9 inches,0446525804,978-0446525800,English,548 pages,"November 6, 2001",Grand Central Publishing,820L,,
John Edward,"Crossing Over: The Stories Behind the Stories
",6.5 x 1 x 9.5 inches,1588720020,978-1588720023,English,261 pages,"August 1, 2001",Jodere Group,,,
J.D. Salinger,"The Catcher in the Rye
",4.2 x 0.75 x 6.8 inches,7543321726,978-7543321724,English,240 pages,"May 1, 1991","Little, Brown and Company",790L,14 years and up,
Ahmed Rashid,"Taliban: Militant Islam, Oil and Fundamentalism in Central Asia
",5.25 x 0.5 x 8 inches,0300089023,978-0300089028,English,274 pages,"March 1, 2001",Yale Nota Bene Books,,,
Eckhart Tolle,"The Power of Now: A Guide to Spiritual Enlightenment
",6.5 x 1 x 9.5 inches,1577311523,978-1577311522,English,208 pages,"September 27, 1999",New World Library,,,
Caroline Kennedy,"The Best Loved Poems of Jacqueline Kennedy-Onassis
",6 x 0.75 x 8.63 inches,0786868090,978-0786868094,English,192 pages,"September 30, 2001",Hyperion,,13 years and up,8 and up
Ian Falconer,"Olivia Saves the Circus
",8.5 x 0.5 x 11 inches,068982954X,978-0689829543,English,44 pages,"October 1, 2001",Atheneum Books for Young Readers,AD470L,3 - 8 years,Preschool - 3
John C. Maxwell,"The 21 Irrefutable Laws of Leadership: Follow Them and People Will Follow You
",6.25 x 1 x 9.5 inches,9780785274315,978-0785274315,English,160 pages,"September 1, 1998",Thomas Nelson Inc,,,
Clive Cussler,"Valhalla Rising (Dirk Pitt Adventures)
",6.5 x 1.67 x 9.25 inches,039914787X,978-0399147876,English,544 pages,"August 13, 2001",Putnam Adult,,18 years and up,
,"The Art of War
",7.9 x 5.4 x 0.5 inches,0195014766,978-0195014761,English,222 pages,"September 15, 1971",Oxford University Press,,,
Janet Evanovich,"Seven Up (Stephanie Plum, No. 7) (Stephanie Plum Novels)
",6.32 x 1.12 x 9.68 inches,0312265840,978-0312265847,English,320 pages,"June 1, 2001",St. Martin's Press,,,
Alice Sebold,"The Lovely Bones
",5.75 x 1.25 x 8.75 inches,0316666343,978-0316666343,English,328 pages,"June 2, 2002","Little, Brown and Company",890L,,
Michael Moore,"Stupid White Men ...And Other Sorry Excuses for the State of the Nation!
",5.5 x 1.01 x 8.25 inches,0060392452,978-0060392451,English,304 pages,"February 1, 2002",Harper,,,
Nicola Kraus,"The Nanny Diaries: A Novel
",5.7 x 1.25 x 8.64 inches,0312278586,978-0312278588,English,306 pages,"March 13, 2002",St. Martin's Press,,,
Phillip C. McGraw,"Self Matters: Creating Your Life from the Inside Out
",6.13 x 1.07 x 9.25 inches,074322423X,978-0743224239,English,318 pages,"November 13, 2001",Simon & Schuster,,,
Larry Bossidy,"Execution: The Discipline of Getting Things Done
",5.8 x 1.03 x 9.5 inches,0609610570,978-0609610572,English,320 pages,"June 15, 2002",Currency,,,
John Grisham,"The Summons
",6.5 x 1.15 x 9.55 inches,0385503822,978-0385503822,English,245 pages,"February 5, 2002",Doubleday,900L,,
,"A Mind at a Time
",6.13 x 1 x 9.25 inches,0743202228,978-0743202220,English,352 pages,"April 3, 2002",Simon & Schuster,,,
Ian McEwan,"Atonement: A Novel
",6.58 x 1.26 x 9.5 inches,0385503954,978-0385503952,English,368 pages,"March 12, 2002",Nan A. Talese,,,
Tom Clancy,"Red Rabbit
",6.32 x 1.9 x 9.32 inches,9780399148705,978-0399148705,English,618 pages,"August 1, 2002",G.P. Putnam's Sons,,,
Ann Coulter,"Slander: Liberal Lies About the American Right
",7 x 0.75 x 9.75 inches,1400046610,978-1400046614,English,272 pages,"June 25, 2002",Crown,,,
Allen Rucker,"The Sopranos Family Cookbook: As Compiled by Artie Bucco
",8 x 0.75 x 9.88 inches,0446530573,978-0446530576,English,208 pages,"September 24, 2002",Grand Central Publishing,,,
Jean M. Auel,"The Shelters of Stone (Earth's Children, Book 5)
",6.6 x 2.2 x 9.5 inches,0609610597,978-0609610596,English,753 pages,"April 30, 2002",Crown,,,
Rudolph W. Giuliani,"Leadership
",6.13 x 9.25 inches,0786868414,978-0786868414,English,407 pages,"October 15, 2002",Hyperion,,13 years and up,8 and up
Bob Greene,"Get With the Program!: Getting Real About Your Health, Weight, and Emotional Well-Being
",6.96 x 0.77 x 9.7 inches,0743244397,978-0743225991,English,224 pages,"January 8, 2002",Simon & Schuster,,,
Michael Crichton,"Prey
",6.12 x 1.21 x 9 inches,0066214122,978-0066214122,English,384 pages,"November 25, 2002",Harper,HL600L,,
Bernard Lewis,"What Went Wrong?: Western Impact and Middle Eastern Response
",,,,,,,,,,
Bob Woodward,"Bush at War
",6.5 x 1.18 x 9.54 inches,9780743204736,978-0743204736,English,376 pages,"November 19, 2002",Simon & Schuster,,,
,"The Perricone Prescription: A Physician's 28-Day Program for Total Body and Face Rejuvenation
",7.38 x 1.04 x 9.25 inches,0060188790,978-0060188795,English,288 pages,"August 6, 2002",William Morrow,,,
Kim Cattrall,"Satisfaction: The Art of the Female Orgasm
",8.75 x 0.75 x 11 inches,0446530719,978-0446530712,English,144 pages,"January 1, 2002",Warner Books,,,
,"Dr. Atkins' New Diet Revolution
",4.19 x 1.12 x 6.75 inches,006001203X,978-0060012038,English,560 pages,"December 29, 2009",Harper,,,
Sean Hannity,"Let Freedom Ring: Winning the War of Liberty over Liberalism
",6 x 1.13 x 9 inches,0060514558,978-0060514556,English,352 pages,"August 1, 2002",William Morrow,,,
Caroline Myss,"Sacred Contracts: Awakening Your Divine Potential
",6.42 x 1.44 x 9.52 inches,0517703920,978-0517703922,English,464 pages,"January 1, 2002",Harmony,,,
Yann Martel,"Life of Pi
",9.3 x 6.38 x 1.1 inches,0151008116,978-0151008117,English,336 pages,"June 4, 2002",Houghton Mifflin Harcourt,830L,14 years and up,
James Patterson,"Four Blind Mice (Alex Cross)
",6.33 x 1.33 x 9.63 inches,9780316693004,978-0316693004,English,400 pages,"November 18, 2002","Little, Brown",,,
James Patterson,"The Beach House
",6 x 1.06 x 9 inches,187659084X,978-0316969680,English,464 pages,"June 10, 2002","Little, Brown and Company",,,
Allison Pearson,"I Don't Know How She Does It: The Life of Kate Reddy, Working Mother
",6.61 x 1.11 x 9.53 inches,0375414053,978-0375414053,English,352 pages,"October 1, 2002",Knopf,,,
John Eldredge,"Wild at Heart: Discovering The Secret of a Man's Soul
",5.75 x 0.75 x 8.25 inches,0785218955,978-0785268833,English,223 pages,"April 3, 2001",Thomas Nelson Inc,,,
Eric Schlosser,"Fast Food Nation: The Dark Side of the All-American Meal
",5.31 x 0.9 x 8 inches,0060938455,978-0060938451,English,383 pages,"January 1, 2002",Harper Perennial,1240L,,
Ann-Marie MacDonald,"Fall On Your Knees (Oprah's Book Club)
",5.25 x 1.4 x 8 inches,0743237188,978-0743237185,English,512 pages,"January 24, 2002",Scribner,,,
Daniel Goleman,"Primal Leadership: Realizing the Power of Emotional Intelligence
",6.25 x 1 x 9 inches,9781578514861,978-1578514861,English,352 pages,"March 15, 2002",Harvard Business Review Press,,,
Richard Russo,"Empire Falls
",5.11 x 1.04 x 7.99 inches,0375726403,978-0375726408,English,483 pages,"April 12, 2002",Vintage,,,
Stephen Wolfram,"A New Kind of Science
",,,,,,,,,,
Jorge Cruise,"8 Minutes in the Morning: A Simple Way to Start Your Day That Burns Fat and Sheds the Pounds
",8.38 x 0.83 x 10.88 inches,1579544592,978-1579544591,English,251 pages,"October 5, 2001",Rodale Books,,,
Rosie Daley,"The Healthy Kitchen: Recipes for a Better Body, Life, and Spirit
",7.66 x 1.02 x 9.4 inches,0375413065,978-0375413063,English,368 pages,"April 2, 2002",Knopf,,,
,"10 Real SATs, Second Edition
",,,,,,,,,,
Tom Shales,"Live from New York: An Uncensored History of Saturday Night Live
",6.5 x 1.88 x 9.5 inches,9780316781466,978-0316781466,English,566 pages,"October 1, 2002","Little, Brown and Company",,,
,"Conquer the Crash: You Can Survive and Prosper in a Deflationary Depression (Wiley Trading)
",6.28 x 1 x 9.65 inches,0470849827,978-0470849828,English,278 pages,"June 28, 2002",John Wiley & Sons,,,
Tim LaHaye,"The Remnant: On the Brink of Armageddon (Left Behind)
",6.25 x 1.5 x 9.25 inches,9780842332279,978-0842332279,English,405 pages,"July 1, 2002","Tyndale House Publishers, Inc.",,,
Dale Carnegie,"How to Win Friends & Influence People
",4.19 x 0.8 x 6.75 inches,0671723650,978-0671723651,English,304 pages,"February 15, 1990",Pocket Books,,,
James Patterson,"2nd Chance
",5.5 x 1 x 8.5 inches,0316693200,978-0316693202,English,416 pages,"March 4, 2002","Little, Brown and Company",,,
Janet Evanovich,"Hard Eight (Stephanie Plum)
",6.67 x 1.16 x 9.2 inches,9780312265854,978-0312265854,English,320 pages,"July 3, 2002",St. Martin's Press,,,
,"The Wrinkle Cure: Unlock the Power of Cosmeceuticals for Supple, Youthful Skin
",5.5 x 0.75 x 8 inches,0446677760,978-0446677769,English,225 pages,"May 1, 2001",Grand Central Publishing,,,
J.K. Rowling,"Harry Potter Boxset 1-4
",7.95 x 5.53 x 4.81 inches,0439434866,978-0439434867,English,752 pages,"September 1, 2002",Scholastic Paperbacks,,9 - 12 years,
Robert A. Caro,"Master of the Senate: The Years of Lyndon Johnson III
",6.6 x 2.2 x 9.5 inches,0394528360,978-0394528366,English,1200 pages,"April 23, 2002",Knopf,,,
,"The Five Dysfunctions of a Team: A Leadership Fable
",,,,,,,,,,
Sylvia Nasar,"A Beautiful Mind: The Life of Mathematical Genius and Nobel Laureate John Nash
",6.25 x 1 x 9.25 inches,0743224574,978-0743224574,English,464 pages,"December 4, 2001",Touchstone,,,
Thomas L. Friedman,"Longitudes and Attitudes: Exploring the World After September 11
",6.31 x 1.27 x 9.3 inches,0374190666,978-0374190668,English,383 pages,"September 11, 2002","Farrar, Straus and Giroux",,,
Nora Roberts,"Face the Fire (Three Sisters Island Trilogy)
",4.19 x 0.98 x 6.75 inches,051513287X,978-0515132878,English,384 pages,"May 28, 2002",Berkley,,,
Jan Karon,"In This Mountain
",6.26 x 1.27 x 9.32 inches,0670031046,978-0670031047,English,382 pages,"January 1, 2002",Viking,790L,18 years and up,
Malcolm Gladwell,"The Tipping Point: How Little Things Can Make a Big Difference
",5.5 x 1 x 8.5 inches,0316346624,978-0316346627,English,301 pages,"January 7, 2002",Back Bay Books,1160L,,
Stephen King,"Everything's Eventual: 14 Dark Tales
",6.13 x 1.62 x 9.25 inches,0743235150,978-0743235150,English,464 pages,"March 19, 2002",Scribner,,,
Margaret Wise Brown,"Goodnight Moon
",5.9 x 0.7 x 4.9 inches,,,English,30 pages,"January 23, 2007",HarperFestival,AD360L,Baby - 4 years,
,"Rath & Strong's Six Sigma Pocket Guide
",,0970507909,978-0970507907,English,192 pages,"October 17, 2000",Rath & Strong,,,
Anna Quindlen,"Blessings
",6.37 x 1.03 x 9.51 inches,0375502238,978-0375502231,English,240 pages,"September 17, 2002",Random House,,,
Michael R. Beschloss,"The Conquerors: Roosevelt, Truman and the Destruction of Hitler's Germany, 1941-1945
",6.58 x 1.19 x 9.56 inches,0684810271,978-0684810270,English,416 pages,"October 29, 2002",Simon & Schuster,,,
Harry K. Wong,"The First Days of School: How to Be an Effective Teacher
",8 x 0.75 x 10.25 inches,0962936022,978-0962936029,English,338 pages,"November 1, 1997",Harry K Wong Pubn,,,
,"The Very Hungry Caterpillar
",7.17 x 0.63 x 5 inches,0399226907,978-0399226908,English,26 pages,"March 23, 1994",World of Eric Carle,AD460L,Baby - 3 years,
Marianne Williamson,"Everyday Grace: Having Hope, Finding Forgiveness, and Making Miracles
",5.4 x 1.13 x 7.84 inches,1573222305,978-1573222303,English,272 pages,"November 11, 2002",Riverhead Hardcover,,18 years and up,
,"Mac OS X: The Missing Manual
",7 x 1.43 x 9.19 inches,0596000820,978-0596000820,English,450 pages,"December 11, 2001",Pogue Press,,,
,"Brown Bear, Brown Bear, What Do You See?
",5.05 x 0.55 x 6.99 inches,0805047905,978-0805047905,English,28 pages,"September 15, 1996",Henry Holt and Co. (BYR),AD200L,2 - 5 years,Preschool - Kindergarten
Janet Evanovich,"Visions of Sugar Plums: A Stephanie Plum Holiday Novel (Stephanie Plum Novels)
",5.5 x 0.5 x 8.5 inches,0312306326,978-0312306328,English,160 pages,"November 5, 2002",St. Martin's Press,,,
Clement Clarke Moore,"The Night Before Christmas Pop-up
",8 x 1.4 x 8 inches,0689838999,978-1403715821,English,12 pages,"October 1, 2002",Little Simon,,4 - 8 years,Preschool - 3
Lemony Snicket,"The Carnivorous Carnival (A Series of Unfortunate Events # 9)
",5 x 1.09 x 7 inches,0064410129,978-0064410120,English,286 pages,"October 1, 2002",HarperCollins,1120L,8 - 12 years,5 - 6
Alton Brown,"I'm Just Here for the Food: Food + Heat = Cooking
",9.5 x 1.33 x 9.33 inches,1584790830,978-1584790839,English,288 pages,"May 1, 2002","Stewart, Tabori and Chang",,,
Mark Victor Hansen,"The One Minute Millionaire: The Enlightened Way to Wealth
",4.9 x 1.15 x 7.4 inches,0609609491,978-0609609491,English,388 pages,"October 22, 2002",Harmony Books,,,
Robert T. Kiyosaki,"Rich Dad's Cashflow Quadrant: Rich Dad's Guide to Financial Freedom
",6.13 x 0.88 x 9 inches,0446677477,978-0446677479,English,272 pages,"May 1, 2000",Business Plus,,,
Ann Packer,"The Dive From Clausen's Pier
",6.56 x 1.2 x 9.53 inches,0375412824,978-0375412820,English,384 pages,"April 9, 2002",Knopf,,,
J. K. Rowling,"Harry Potter and the Order of the Phoenix (Book 5)
",6.4 x 2.1 x 9.25 inches,9780439358064,978-0439358064,English,896 pages,"July 1, 2003",Arthur A. Levine Books,950L,9 - 12 years,4 - 7
,"The Da Vinci Code
",6.47 x 1.31 x 9.5 inches,0385504209,978-0385504201,English,454 pages,"April 1, 2003",Doubleday,850L,,
Arthur Agatston,"The South Beach Diet: The Delicious, Doctor-Designed, Foolproof Plan for Fast and Healthy Weight Loss
",,,,,,,,,,
Rick Warren,"The Purpose Driven Life
",6.18 x 1.06 x 9.21 inches,9780310205715,978-0310205715,English,334 pages,"October 8, 2002",Zondervan,,18 years and up,
Al Franken,"Lies and the Lying Liars Who Tell Them
",6.36 x 1.34 x 9.3 inches,0141886889,978-0141886886,English,368 pages,"August 29, 2003",Dutton,,,
Sue Monk Kidd,"The Secret Life of Bees
",7.92 x 5.24 x 0.61 inches,0142001740,978-0142001745,English,352 pages,"January 28, 2003",,840L,18 years and up,
Mitch Albom,"The Five People You Meet in Heaven
",5.3 x 1.15 x 7.6 inches,9780786868711,978-0786868711,English,208 pages,"September 23, 2003",Hachette Books,780L,13 years and up,8 and up
Yann Martel,"Life of Pi
",8 x 5 x 0.91 inches,9780156027328,978-0156027328,English,326 pages,"May 1, 2003",Mariner Books,830,14 years and up,
Laura Hillenbrand,"Seabiscuit: An American Legend
",5.51 x 0.93 x 8.2 inches,0449005615,978-0449005613,English,399 pages,"March 26, 2002",Ballantine Books,990L,,
Bill Bryson,"A Short History of Nearly Everything
",6.4 x 1.75 x 9.55 inches,0767908171,978-0767908177,English,560 pages,"May 6, 2003",Crown,,,
John Grisham,"The King of Torts
",6.44 x 1.22 x 9.59 inches,1135650381,978-1135650384,English,384 pages,"March 4, 2003",Doubleday,850L,,
Hillary Rodham Clinton,"Living History
",6.12 x 1.31 x 9.12 inches,0743222245,978-0743222242,English,576 pages,"June 9, 2003",Simon & Schuster,,,
Dana Carpender,"500 Low-Carb Recipes: 500 Recipes, from Snacks to Dessert, That the Whole Family Will Love
",7.5 x 1.25 x 9.13 inches,1931412065,978-1931412063,English,500 pages,"October 1, 2002",Fair Winds Press,,,
Phillip C. McGraw,"The Ultimate Weight Solution: The 7 Keys to Weight Loss Freedom
",6.4 x 1.4 x 9.5 inches,0743236742,978-0743236744,English,336 pages,"September 1, 2003",Free Press,,,
Dan Brown,"Angels & Demons
",4.2 x 1.1 x 7.1 inches,0671027360,978-0671027360,English,572 pages,"July 1, 2001",Pocket Star Books,,,
Ron Clark,"The Essential 55: An Award-Winning Educator's Rules for Discovering the Successful Student in Every Child
",,,,,,,,,,
Michael Lewis,"Moneyball: The Art of Winning an Unfair Game
",6.5 x 1.1 x 9.6 inches,0393057658,978-0393057652,English,288 pages,"May 10, 2003",W. W. Norton & Company,,,
Michael Moore,"Dude, Where's My Country?
",6.5 x 0.88 x 9.25 inches,0446532231,978-0446532235,English,272 pages,"October 7, 2003",Warner Books,,,
John Steinbeck,"East of Eden, John Steinbeck Centennial Edition
",5.7 x 1.48 x 8.36 inches,0142004235,978-0142004234,English,601 pages,"January 1, 2002",Penguin Books,700L,,
Ann Coulter,"Treason: Liberal Treachery from the Cold War to the War on Terrorism
",6.43 x 1.27 x 9.55 inches,1400050308,978-1400050307,English,368 pages,"June 24, 2003",Crown Forum,,,
Walter Isaacson,"Benjamin Franklin: An American Life
",6.5 x 1.6 x 9.5 inches,0684807610,978-0684807614,English,624 pages,"July 1, 2003",Simon & Schuster,,,
,"Atkins for Life: The Complete Controlled Carb Program for Permanent Weight Loss and Good Health
",7.76 x 1.21 x 9.48 inches,0312315228,978-0312315221,English,384 pages,"January 1, 2003",St. Martin's Press,,,
,"Complete Atkins' Three Book Package
",6.16 x 2.29 x 9.22 inches,0871319845,978-0871319845,English,320 pages,"December 27, 2001",M. Evans & Company,,,
Stephen King,"Wolves of the Calla (Dark Tower)
",6.44 x 1.97 x 9.2 inches,1880418568,978-1880418567,English,736 pages,"November 1, 2003",Donald M. Grant/Scribner,,,
Tony Schwartz,"The Power of Full Engagement: Managing Energy, Not Time, Is the Key to High Performance and Personal Renewal
",6 x 0.9 x 9 inches,0743226747,978-0743226745,English,256 pages,"February 10, 2003",Free Press,,,
John Grisham,"Bleachers
",5.52 x 0.87 x 8.54 inches,0385511612,978-0385511612,English,163 pages,"September 9, 2003",Doubleday,,,
Po Bronson,"What Should I Do With My Life: The True Story of People Who Answered the Ultimate Question
",6.43 x 1.27 x 9.51 inches,0375507493,978-0375507496,English,400 pages,"December 24, 2002",Random House,,,
Rachael Ray,"Rachael Ray 30-Minute Meals 2
",7.05 x 0.67 x 10.03 inches,9781891105104,978-1891105104,English,255 pages,"June 1, 2003",Lake Isle Press,,,
Ann Patchett,"Bel Canto
",5.31 x 0.76 x 8 inches,0060934417,978-0060934415,English,318 pages,"April 1, 2002",Harper Perennial,,,
Robert Patterson,"Dereliction of Duty: The Eyewitness Account of How President Bill Clinton Compromised America's Long-Term National Security
",6.34 x 0.87 x 9.3 inches,0895261405,978-0895261403,English,256 pages,"March 10, 2003",Regnery Publishing,,,
Karen Katz,"Where Is Baby's Belly Button? A Lift-the-Flap Book
",,0689835604,978-0689835605,English,14 pages,"September 1, 2000",Little Simon,AD120L,1 - 4 years,Preschool and up
Alexander McCall Smith,"The No. 1 Ladies' Detective Agency (Book 1)
",5.19 x 0.65 x 7.99 inches,9781400034772,978-1400034772,English,235 pages,"February 6, 2003",Anchor,,,
Tom Clancy,"The Teeth of the Tiger (Jack Ryan Novels)
",6.3 x 1.47 x 9.36 inches,039915079X,978-0399150791,English,431 pages,"August 11, 2003",G. P. Putnam's Sons,,18 years and up,
Janet Evanovich,"To the Nines: Stephanie Plum Novels
",10.01 x 6.46 x 1.08 inches,0312265867,978-0312265861,English,320 pages,"July 1, 2003",St. Martin's Press,,,
Christopher Paolini,"Eragon (Inheritance)
",6.13 x 1.56 x 9.25 inches,9780375826689,978-0375826689,English,528 pages,"June 25, 2003",Knopf Books for Young Readers,710L,12 - 15 years,7 - 9
Michael Cunningham,"The Hours
",5.56 x 0.66 x 8.34 inches,0312305060,978-0312305062,English,240 pages,"November 9, 2002",Picador,,,
Bill O'Reilly,"Who's Looking Out for You?
",6.44 x 0.89 x 9.56 inches,0767913795,978-0767913799,English,224 pages,"September 23, 2003",Crown Archetype,,,
Dan Brown,"Deception Point
",4.3 x 1 x 6.8 inches,045121580X,978-0451215802,English,576 pages,"December 1, 2002",Pocket Books,,,
